feature,effect,correct_mean,error_mean
CIR_energy,131895720.44807386,1357033437.7360058,1488929158.1840796
FP_power,109501736.05301768,384380918.69573855,493882654.74875623
FP_AMP2,2500.5338044339514,11326.652762730228,13827.186567164179
CIR762,2240.7131299084194,10031.483387504515,12272.196517412935
CIR761,2103.8546325792486,10653.712531599856,12757.567164179105
FP_AMP3,1924.8721479277501,9611.695016251355,11536.567164179105
CIR764,1420.7072519310277,8929.650957024196,10350.358208955224
CIR763,1404.0364294454066,8691.84416756952,10095.880597014926
CIR760,1385.2177115505901,7025.085771036475,8410.303482587065
FP_AMP1,1364.3397718881206,8101.34182015168,9465.6815920398
CIR765,1211.5150116158093,8282.450162513544,9493.965174129353
CIR_PWR,1021.1138214668808,9702.871253159985,10723.985074626866
PEAK2_AMP,691.3109317982135,4902.554712892741,4211.243781094528
CIR759,519.4113802601291,2495.919465511015,3015.330845771144
CIR766,496.03316569913204,7484.126038280968,7980.1592039801
CIR777,407.6106547436166,3177.3196099674974,2769.708955223881
CIR780,400.2585232019751,2728.977428674612,2328.718905472637
CIR776,360.16011491836616,3433.9014084507044,3073.741293532338
CIR775,329.3298027737801,3650.8347778981583,3321.5049751243782
CIR781,317.5123300076002,2597.604369808595,2280.092039800995
CIR785,296.0000943279272,2123.2836764174795,1827.2835820895523
CIR778,291.3663238520294,3022.7518959913327,2731.3855721393033
CIR783,290.0782382777338,2326.003611412062,2035.9253731343283
CIR784,284.4669151533774,2234.9644275911883,1950.4975124378109
CIR782,268.7784048339022,2414.320693391116,2145.542288557214
CIR787,266.1742398516626,1934.5846876128567,1668.410447761194
CIR779,260.42962867137794,2880.8550018057063,2620.4253731343283
CIR788,248.46508519159352,1856.5944384254244,1608.129353233831
CIR768,225.18845911288645,6394.281690140845,6619.4701492537315
CIR801,220.0973248599904,1105.074936800289,884.9776119402985
CIR786,218.55290449162635,2020.8638497652582,1802.310945273632
CIR792,215.00030184936622,1558.8410978692668,1343.8407960199006
CIR791,213.55270505543785,1617.7069339111592,1404.1542288557214
CIR770,188.64033839469994,5268.93138317082,5080.29104477612
CIR771,187.56997245624552,4879.33550018057,5066.905472636816
CIR790,185.39330163914997,1669.716684723727,1484.323383084577
CIR800,183.07446516065386,1180.489888046226,997.4154228855722
CIR793,182.44188321663637,1484.1657638136512,1301.7238805970148
CIR806,177.8870679107173,976.7602022390755,798.8731343283582
CIR789,170.30950879405805,1760.7323943661972,1590.4228855721392
CIR805,168.95840138419499,1012.232033224991,843.273631840796
MAX_NOISE,158.30412132188462,1297.9732755507403,1139.6691542288556
CIR802,158.3008494903596,1064.1242325749367,905.8233830845771
CIR797,153.651940729721,1289.156915854099,1135.504975124378
CIR808,150.0620569956285,905.7361863488624,755.6741293532339
CIR807,143.65275734006025,935.2746478873239,791.6218905472637
CIR799,140.6298868603892,1196.7667027807872,1056.136815920398
CIR809,135.67495943899144,865.2296858071506,729.5547263681592
CIR812,132.46948087299154,808.1137594799567,675.6442786069651
CIR794,131.1154843334789,1432.4438425424341,1301.3283582089553
CIR817,130.90136263428258,732.8540989526905,601.9527363184079
CIR813,127.14016590934818,798.3317081979054,671.1915422885572
CIR804,123.54077931038205,1049.2945106536656,925.7537313432836
CIR796,119.56056930946556,1350.5431563741422,1230.9825870646766
CIR810,116.61529837270848,819.3988804622608,702.7835820895523
CIR818,111.0391433946196,707.8699891657639,596.8308457711443
CIR798,109.98426071160998,1233.7379920548935,1123.7537313432836
CIR819,108.00796397212196,704.1646803900325,596.1567164179105
CIR815,107.40759097254784,760.5991332611051,653.1915422885572
CIR811,106.52262792214447,813.8261105092091,707.3034825870647
CIR820,98.70568878252288,693.8624052004334,595.1567164179105
CIR823,98.34744748629555,661.7603828096786,563.4129353233831
CIR803,97.0193075791143,1051.2407006139401,954.2213930348258
CIR816,96.59816033591517,753.3494041170097,656.7512437810946
CIR814,96.136061296982,769.3972553268328,673.2611940298508
CIR826,83.82343698624965,593.2811484290357,509.4577114427861
CIR822,80.4404251763932,665.2190321415674,584.7786069651742
RXPACC,79.90854772723605,615.0478512098231,535.139303482587
CIR758,78.85944869369303,604.0335861321777,682.8930348258707
CIR824,77.32814260226485,642.3754062838569,565.0472636815921
CIR821,76.88808126216156,679.679126038281,602.7910447761194
CIR767,75.25744247344028,7037.5012639942215,7112.758706467662
CIR828,72.99729144095346,584.3306247742868,511.3333333333333
CIR827,69.80963546298835,603.4514265077645,533.6417910447761
CIR774,69.14432711847076,3899.069700252799,3829.9253731343283
CIR769,66.08995919643348,5869.118996027447,5935.20895522388
CIR772,65.41635268942446,4532.608522932466,4598.024875621891
CIR825,65.41470060315976,604.4992777175876,539.0845771144278
CIR841,58.554098413673785,456.2829541350668,397.728855721393
CIR834,58.386445346399114,502.0879378837125,443.7014925373134
CIR829,55.32764401179372,564.3997833152763,509.0721393034826
CIR831,52.21132420238996,565.848140122788,513.636815920398
CIR795,51.94421176889114,1381.0113759479957,1329.0671641791046
CIR842,49.79058391681889,447.1711809317443,397.3805970149254
CIR839,46.28097863876718,497.7038642109065,451.4228855721393
CIR840,45.78805053820821,480.6238714337306,434.8358208955224
CIR844,45.207472927884965,452.5184182015168,407.31094527363183
CIR833,42.30985376476235,518.7650776453594,476.45522388059703
CIR843,41.86626725527293,452.28169014084506,410.4154228855721
SNR,39.88105223521791,128.6953397697643,168.5763920049822
CIR838,39.26643327242442,498.19429396894185,458.9278606965174
CIR830,36.246203974709374,561.4626218851571,525.2164179104477
CIR755,35.83410412725107,238.9037558685446,203.06965174129354
CIR835,34.705917864631374,513.9322860238353,479.22636815920396
signal_to_noise,34.69706101627017,150.82241231791772,185.5194733341879
CIR848,33.92226300782113,415.1610689779704,381.23880597014926
CIR847,30.666041407264913,426.9720115565186,396.3059701492537
CIR846,29.723896767516692,433.8010111953774,404.0771144278607
CIR832,29.70168927841837,551.4678584326472,521.7661691542288
CIR733,29.14071301132472,236.21036475261826,207.06965174129354
CIR731,26.113880758719944,237.95467677862044,211.8407960199005
CIR737,25.35975593322661,242.18562657999277,216.82587064676616
CIR736,24.967130760067477,241.08902130733117,216.1218905472637
CIR738,24.895932040771243,242.4033947273384,217.50746268656715
CIR730,24.740994378055547,236.8479595521849,212.10696517412936
CIR744,23.16910571735039,240.26363308053448,217.09452736318408
CIR756,22.706672488047303,247.53503069700253,224.82835820895522
CIR732,22.66796030680831,233.74756229685806,211.07960199004975
CIR747,22.653706009497483,238.98952690501986,216.33582089552237
CIR734,21.91598885313411,235.7020585048754,213.7860696517413
CIR749,21.76719059092403,237.31942939689418,215.55223880597015
CIR735,21.509772373236757,238.52221018418203,217.01243781094527
CIR849,21.35192671528597,401.307150595883,379.95522388059703
CIR837,21.219600804212973,511.44348140122787,490.2238805970149
CIR743,20.64705723818608,241.08486818345972,220.43781094527364
CIR845,20.124496693132357,445.81852654387865,425.6940298507463
CIR753,19.859642739714218,240.07854821235102,220.2189054726368
CIR746,19.696851603305248,237.776453593355,218.07960199004975
CIR752,19.10657977717048,239.13145539906102,220.02487562189054
CIR745,18.744894164065926,238.41404839292164,219.66915422885572
CIR742,18.263091368725185,237.42975803539184,219.16666666666666
CIR748,16.707718180495135,237.5559768869628,220.84825870646767
CIR741,16.37433364057287,233.29721921271218,216.9228855721393
PREAM_LEN,16.03561822523352,1042.5828819068256,1026.547263681592
CIR750,14.620831379397686,235.03376670278078,220.4129353233831
CIR751,14.204891037768903,233.90140845070422,219.69651741293532
CIR754,14.058372816308491,236.96135789093535,222.90298507462686
CIR836,13.208645289263359,523.7583965330444,510.5497512437811
CIR739,13.028931722751366,234.36475261827374,221.33582089552237
CIR740,12.623351282590306,236.13578909353558,223.51243781094527
CIR757,10.017709394522512,287.12964969303,277.1119402985075
STDEV_NOISE,9.44334664704646,70.65727699530517,61.21393034825871
CIR773,2.976135034469735,4193.063199711087,4190.087064676617
CIR_kurtosis,2.490359239420112,10.815448835637776,13.305808075057888
CIR_rise_time,2.3535761064665834,5.843625857710364,3.490049751243781
PEAK2_IDX,2.17084943645807,769.7495485734922,771.9203980099503
SNR_dB,1.4067626012425265,19.286828324728468,20.693590925970994
CIR_num_peaks,1.2033629253515734,5.372517154207295,4.169154228855722
PEAK2_GAP,1.0986508411356013,24.242145178764897,25.3407960199005
FP_IDX,1.0360844747011697,745.5435175153485,746.5796019900497
FRAME_LEN,0.9922219886483106,33.61971830985915,34.61194029850746
RANGE,0.4688773629145766,3.798131094257858,3.3292537313432815
CIR_skewness,0.36894214909977974,3.09257792125854,3.4615200703583198
noise_ratio,0.33341721247739997,18.5195670697807,18.8529842822581
SNR_per_acc,0.10577199196620973,0.3336000093731428,0.43937200133935256
FP_AMP_ratio,0.05092660068433763,0.9246423656349887,0.8737157649506511
PEAK2_FOUND,0.0003611412062116681,0.9996388587937883,1.0
CH,0.0,2.0,2.0
BITRATE,0.0,110.0,110.0
PRFR,0.0,64.0,64.0
